Label,Message,urgency_result_label,urgency_result_score,threatening_result_label,threatening_result_score,requesting_personal_information_result_label,requesting_personal_information_result_score,gift_card_offer_result_label,gift_card_offer_result_score,requesting_money_result_label,requesting_money_result_score,update_bill_result_label,update_bill_result_score,prior_activity_result_label,prior_activity_result_score
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",1.0,0.63,TRUE,0.55,FALSE,0.72,TRUE,0.51,FALSE,0.74,FALSE,0.66,FALSE,0.59
ham,Ok lar... Joking wif u oni...,1.0,0.57,TRUE,0.56,FALSE,0.55,FALSE,0.61,FALSE,0.61,FALSE,0.66,FALSE,0.59
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0.0,0.60,TRUE,0.59,FALSE,0.51,TRUE,0.53,TRUE,0.52,FALSE,0.63,FALSE,0.66
ham,U dun say so early hor... U c already then say...,1.0,0.57,TRUE,0.56,FALSE,0.55,FALSE,0.61,FALSE,0.61,FALSE,0.66,FALSE,0.59
ham,"Nah I don't think he goes to usf, he lives around here though",0.0,0.83,TRUE,0.65,FALSE,0.65,FALSE,0.69,TRUE,0.62,FALSE,0.63,FALSE,0.57
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",0.0,0.86,FALSE,0.58,FALSE,0.53,FALSE,0.56,TRUE,0.59,FALSE,0.74,FALSE,0.68
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0.0,0.54,TRUE,0.62,FALSE,0.80,FALSE,0.56,TRUE,0.58,FALSE,0.71,FALSE,0.68
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1.0,0.54,FALSE,0.60,TRUE,0.70,FALSE,0.68,TRUE,0.51,FALSE,0.78,FALSE,0.77
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1.0,0.59,TRUE,0.55,FALSE,0.76,FALSE,0.60,FALSE,0.61,FALSE,0.89,FALSE,0.74
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0.0,0.57,FALSE,0.57,FALSE,0.58,FALSE,0.60,FALSE,0.59,TRUE,0.59,TRUE,0.50
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",1.0,0.75,TRUE,0.84,FALSE,0.68,TRUE,0.57,TRUE,0.66,FALSE,0.63,FALSE,0.58
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0.0,0.50,TRUE,0.58,TRUE,0.53,TRUE,0.50,TRUE,0.69,FALSE,0.59,FALSE,0.70
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0.0,0.83,FALSE,0.59,FALSE,0.85,TRUE,0.50,FALSE,0.75,FALSE,0.76,FALSE,0.72
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.0,0.93,FALSE,0.54,FALSE,0.69,FALSE,0.73,FALSE,0.76,FALSE,0.83,FALSE,0.66
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0.0,0.59,TRUE,0.64,FALSE,0.71,FALSE,0.65,FALSE,0.83,FALSE,0.70,TRUE,0.66
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0.0,0.79,TRUE,0.61,FALSE,0.64,FALSE,0.64,TRUE,0.55,FALSE,0.54,FALSE,0.63
ham,Oh k...i'm watching here:),0.0,0.79,TRUE,0.52,FALSE,0.55,FALSE,0.61,FALSE,0.61,FALSE,0.66,TRUE,0.59
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0.0,0.64,TRUE,0.56,TRUE,0.54,FALSE,0.61,TRUE,0.52,FALSE,0.66,FALSE,0.59
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0.0,0.63,TRUE,0.51,FALSE,0.78,FALSE,0.78,FALSE,0.73,FALSE,0.64,FALSE,0.79
